Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2001,3,81,Ottawa Senators,Neil Komadoski,US,D,19,,Notre Dame,CCHA,,,,,,,
2002,3,81,New York Rangers,Marcus Jonasen,SE,LW,18,,Vasteras,Sweden-2,,,,,,,
2003,3,81,Philadelphia Flyers,Stefan Ruzicka\ruzicst01,CS,RW,18,2008,Nitra,Slovakia,x,55,4,13,17,-1,47
2004,3,81,Nashville Predators,Vaclav Meidl,CZ,C,18,,Plymouth,OHL,,,,,,,
2005,3,81,Edmonton Oilers,Danny Syvret\syvreda01,CA,D,20,2011,London,OHL,x,59,3,4,7,-14,30
1993,4,81,Tampa Bay Lightning,Marian Kacir,CZ,,,,Hodonin,,,,,,,,
1994,4,81,Ottawa Senators,Bryan Masotta,US,,,,New Haven,High-CT,,,,,,,
1995,4,81,Colorado Avalanche,Tomi Kallio\kallito01,FI,LW,18,2003,Kiekko-67 Turku FIN,Finland-Jr.,x,140,24,31,55,-21,48
1996,4,81,Ottawa Senators,Antti-Jussi Niemi\niemian01,FI,D,18,2002,Jokerit Helsinki,KHL,x,29,1,1,2,-7,22
1997,4,81,Boston Bruins,Karol Bartanus,SK,,,,Drummondville,QMJHL,,,,,,,
1998,3,82,New Jersey Devils,Brian Gionta\giontbr01,US,RW,19,2018,Boston College,H-East,x,1026,291,304,595,35,377
1999,3,82,San Jose Sharks,Mark Concannon,US,,,,Winchendon,High-MA,,,,,,,
2000,3,82,Florida Panthers,Sean O'Connor,CA,,,,Moose Jaw,WHL,,,,,,,
2001,3,82,Toronto Maple Leafs,Jay Harrison\harrija01,CA,D,18,2015,Brampton,OHL,x,372,23,52,75,-27,360
2002,3,82,Buffalo Sabres,John Adams,US,D,19,,Boston College,H-East,,,,,,,
2003,3,82,Los Angeles Kings,Ryan Munce,CA,G,18,,Sarnia,OHL,,,,,,,
2004,3,82,New York Islanders,Sergei Ogorodnikov,RU,C,18,,Tver,Russia-2,,,,,,,
2005,3,82,Toronto Maple Leafs,Phil Oreskovic\oreskph01,CA,D,18,2009,Brampton,OHL,x,10,1,1,2,-2,21
1993,4,82,Anaheim Ducks,Joel Gagnon,CA,,,,Hearst,,,,,,,,
1994,4,82,Winnipeg Jets,Steve Cheredaryk,CA,,,,Medicine Hat,WHL,,,,,,,
1995,4,82,Chicago Blackhawks,Chris Van Dyk,CA,,,,Windsor,OHL,,,,,,,
1996,4,82,Florida Panthers,Joey Tetarenko\tetarjo01,CA,RW,18,2004,Portland,WHL,x,73,4,1,5,-7,176
1997,4,82,San Jose Sharks,Adam Colagiacomo,CA,,,,Oshawa,OHL,,,,,,,
1998,3,83,St. Louis Blues,Matt Walker\walkema01,CA,D,18,2012,Portland,WHL,x,314,4,26,30,-9,464
1999,3,83,Anaheim Ducks,Niclas Havelid\havelni01,SE,D,26,2009,Malmo,Sweden,x,628,34,137,171,-31,342
2000,3,83,Edmonton Oilers,Alexander Liubimov,RU,,,,Lada Togliatti,KHL,,,,,,,
2001,3,83,Los Angeles Kings,Henrik Juntunen,SE,RW,18,,Karpat Oulu,Finland,,,,,,,
2002,3,83,Vancouver Canucks,Lukas Mensator,CZ,G,18,,Karlovy Vary,Czech,,,,,,,
2003,3,83,Washington Capitals,Steve Werner,US,RW,19,,Massachusetts,H-East,,,,,,,
2004,3,83,St. Louis Blues,Viktor Alexandrov,KZ,LW,18,,Novokuznetsk,KHL,,,,,,,
2005,3,83,Boston Bruins,Mikko Lehtonen\lehtomi02,FI,RW,18,2010,Blues Espoo Jr.,Finland-Jr.,x,2,0,0,0,-1,0
1993,4,83,Florida Panthers,Bill McCauley,US,,,,Detroit,OHL,,,,,,,
1994,4,83,Hartford Whalers,Hnat Domenichelli\domenhn01,CA,LW,18,2003,Kamloops,WHL,x,267,52,61,113,-56,104
1995,4,83,Edmonton Oilers,Mike Minard\minarmi01,CA,G,18,2000,Chilliwack,BCHL,x,1,0,0,0,0,0
1996,4,83,New York Islanders,Tyrone Garner\garnety01,CA,G,18,1999,Oshawa,OHL,x,3,0,0,0,0,0
1997,4,83,Los Angeles Kings,Joe Corvo\corvojo01,US,D,20,2014,Western Michigan,CCHA,x,708,92,218,310,25,241
1998,3,84,Detroit Red Wings,Jake McCracken,CA,,,,Sault Ste. Marie,OHL,,,,,,,
1999,3,84,Carolina Hurricanes,Brad Fast\fastbr01,CA,D,19,2004,Prince George,WHL,x,1,1,0,1,1,0
2000,3,84,Pittsburgh Penguins,Peter Hamerlik,SK,G,18,,Skalica,Slovakia,,,,,,,
2001,3,84,Edmonton Oilers,Kenny Smith,US,D,19,,Harvard,ECAC,,,,,,,
2002,3,84,New Jersey Devils,Marek Chvatal,CZ,D,18,,Trinec,Czech,,,,,,,
2003,3,84,St. Louis Blues,Konstantin Barulin,RU,G,19,,Tjumen,Russia-2,,,,,,,
2004,3,84,Montreal Canadiens,Alexei Emelin\emelial01,SU,D,18,2018,CSK VVS Samara,Russia-3,x,456,15,66,81,-9,363
2005,3,84,New Jersey Devils,Mark Fraser\frasema01,CA,D,18,2015,Kitchener,OHL,x,219,4,18,22,7,302
1993,4,84,Hartford Whalers,Trevor Roenick,US,,,,Derby,,,,,,,,
1994,4,84,Florida Panthers,David Nemirovsky\nemirda01,CA,RW,18,1999,Ottawa,OHL,x,91,16,22,38,-2,42
1995,4,84,Winnipeg Jets,Justin Kurtz\kurtzju01,CA,D,18,2002,Brandon,WHL,x,27,3,5,8,-4,14
1996,4,84,Los Angeles Kings,Mikael Simons,SE,,,,Mora,Sweden-2,,,,,,,
1997,4,84,Toronto Maple Leafs,Adam Mair\mairad01,CA,C,18,2011,Owen Sound,OHL,x,615,38,76,114,-26,829
1998,3,85,Nashville Predators,Geoff Koch,US,,,,Michigan,CCHA,,,,,,,
1999,3,85,St. Louis Blues,Peter Smrek\smrekpe01,CS,D,20,2002,Des Moines,USHL,x,28,2,4,6,-5,18
2000,3,85,Phoenix Coyotes,Ramzi Abid\abidra01,CA,LW,20,2007,Halifax,QMJHL,x,68,14,16,30,-11,78
2001,3,85,Columbus Blue Jackets,Aaron Johnson\johnsaa01,CA,D,18,2013,Rimouski,QMJHL,x,291,17,45,62,1,227
2002,3,85,New Jersey Devils,Ahren Nittel,CA,LW,18,,Windsor,OHL,,,,,,,
2003,3,85,Philadelphia Flyers,Alexandre Picard\picaral01,CA,D,18,2012,Halifax,QMJHL,x,253,19,50,69,-31,86
2004,3,85,Pittsburgh Penguins,Brian Gifford,US,C,18,,Moorhead,High-MN,,,,,,,
2005,3,85,St. Louis Blues,Ben Bishop\bishobe01,US,G,18,2020,Texas,NAHL,x,413,0,12,12,0,34
1993,4,85,Montreal Canadiens,Adam Wiesel,US,,,,South Hadley,,,,,,,,
1994,4,85,Chicago Blackhawks,Steve McLaren\mclarst01,CA,D,19,2004,North Bay,OHL,x,6,0,0,0,0,25
1995,4,85,Hartford Whalers,Ian MacNeil\macneia01,CA,C,18,2003,Oshawa,OHL,x,2,0,0,0,1,0
1996,4,85,Washington Capitals,Justin Davis,CA,,,,Kingston,OHL,,,,,,,
1997,4,85,New York Islanders,Petr Mika\mikape01,CS,LW,18,2000,Slavia Praha,Czech-2,x,3,0,0,0,-1,0
1998,3,86,Dallas Stars,Gabriel Karlsson,SE,,,,HV 71 Jonkoping Jr.,Sweden-Jr.,,,,,,,
1999,3,86,Pittsburgh Penguins,Sebastien Caron\caronse01,CA,G,19,2012,Rimouski,QMJHL,x,95,0,1,1,0,12
2000,3,86,Los Angeles Kings,Yanick Lehoux\lehouya01,CA,C,18,2007,Baie-Comeau,QMJHL,x,10,2,2,4,0,6
2001,3,86,Pittsburgh Penguins,Drew Fata\fatadr01,CA,D,18,2008,St. Michael's,OJHL,x,8,1,1,2,-3,9
2002,3,86,San Jose Sharks,Jonas Fiedler,CZ,RW,18,,Plymouth,OHL,,,,,,,
2003,3,86,Anaheim Ducks,Shane Hynes,CA,RW,19,,Cornell,ECAC,,,,,,,
2004,3,86,Dallas Stars,John Lammers,CA,LW,18,,Lethbridge,WHL,,,,,,,
2005,3,86,Edmonton Oilers,Robby Dee,US,C,18,,Breck,High-MN,,,,,,,
1993,4,86,New York Rangers,Sergei Olimpiyev,BY,,,,Lipetski,,,,,,,,
1994,4,86,Tampa Bay Lightning,Dmitri Klevakin,RU,,,,Spartak Moscow,KHL,,,,,,,
1995,4,86,Montreal Canadiens,Jonathan Delisle\delisjo01,CA,RW,18,1999,Hull,QMJHL,x,1,0,0,0,0,0
1996,4,86,Toronto Maple Leafs,Jason Sessa,US,,,,Lake Superior State,CCHA,,,,,,,
1997,4,86,St. Louis Blues,Didier Tremblay,CA,,,,Halifax,QMJHL,,,,,,,
1999,3,87,New York Islanders,Brian Collins,US,,,,St. John's,High-MA,,,,,,,
2000,3,87,Ottawa Senators,Jan Bohac,CZ,,,,Slavia Praha,Czech-2,,,,,,,
2001,3,87,Columbus Blue Jackets,Per Mars,SE,C,18,,Brynas Gavle,Sweden,,,,,,,
2002,3,87,New York Islanders,Frans Nielsen\nielsfr01,DK,C,18,2020,Malmo,Sweden,x,896,166,301,467,-34,166
2003,3,87,Philadelphia Flyers,Ryan Potulny\potulry01,US,C,19,2011,Lincoln,USHL,x,126,22,27,49,-18,54
2004,3,87,Ottawa Senators,Peter Regin\reginpe01,DK,C,18,2015,Herning IK,Denmark,x,243,23,44,67,1,64
2005,3,87,Buffalo Sabres,Marc-Andre Gragnani\gragnma01,CA,D,18,2016,P.E.I.,QMJHL,x,78,3,15,18,4,36
1993,4,87,Dallas Stars,Chad Lang,CA,,,,Newmarket,OHL,,,,,,,
1994,4,87,Quebec Nordiques,Milan Hejduk\hejdumi01,CS,RW,18,2013,Pardubice,Czech,x,1020,375,430,805,101,316
1995,4,87,Hartford Whalers,Sami Kapanen\kapansa01,FI,RW,22,2008,HIFK Helsinki,Finland,x,831,189,269,458,-30,175
1996,4,87,Buffalo Sabres,Kurt Walsh,CA,,,,Owen Sound,OHL,,,,,,,
1997,4,87,Colorado Avalanche,Brad Larsen\larsebr01,CA,LW,20,2008,Swift Current,WHL,x,294,19,29,48,-23,134
1998,4,87,Toronto Maple Leafs,Alexei Ponikarovsky\ponikal01,SU,LW,18,2013,Dynamo 2,KHL,x,678,139,184,323,47,419
1999,3,88,Tampa Bay Lightning,Jimmie Olvestad\olvesji01,SE,LW,19,2003,Djurgarden,Sweden,x,111,3,14,17,1,40
2000,3,88,Colorado Avalanche,Kurt Sauer\sauerku01,US,D,19,2010,Spokane,WHL,x,357,5,28,33,-15,250
2001,3,88,Toronto Maple Leafs,Nicolas Corbeil,CA,C,18,,Sherbrooke,QMJHL,,,,,,,
2002,3,88,Toronto Maple Leafs,Dominic D'Amour,CA,D,18,,Hull,QMJHL,,,,,,,
2003,3,88,St. Louis Blues,Zack Fitzgerald\fitzgza01,US,D,18,2008,Seattle,WHL,x,1,0,0,0,0,0
2004,3,88,Washington Capitals,Clayton Barthel,DE,D,18,,Seattle,WHL,,,,,,,
2005,3,88,Colorado Avalanche,T.J. Hensick\hensitj01,US,C,19,2011,Michigan,CCHA,x,112,12,26,38,-16,18
1993,4,88,Boston Bruins,Charles Paquette,CA,,,,Sherbrooke,QMJHL,,,,,,,
1994,4,88,Philadelphia Flyers,Adam Magarrell,CA,,,,Brandon,WHL,,,,,,,
1995,4,88,Florida Panthers,Daniel Tjarnqvist\tjarnda01,SE,D,18,2009,Rogle Angelholm,Sweden,x,352,18,72,90,-53,130
1996,4,88,Hartford Whalers,Craig MacDonald\macdocr01,CA,LW,19,2009,Harvard,ECAC,x,233,11,24,35,-15,91
1997,4,88,Carolina Hurricanes,Shane Willis\willish01,CA,RW,20,2004,Lethbridge,WHL,x,174,31,43,74,-16,77
1998,4,88,Nashville Predators,Kent Sauer,US,,,,North Iowa,NAHL,,,,,,,
1999,3,89,Boston Bruins,Kyle Wanvig\wanviky01,CA,RW,18,2008,Kootenay,WHL,x,75,6,9,15,-11,94
2000,3,89,Nashville Predators,Libor Pivko\pivkoli01,CS,LW,20,2004,Havirov,Czech-2,x,1,0,0,0,0,0
2001,3,89,St. Louis Blues,Tuomas Nissinen,FI,G,18,,Kalpa Kuopio Jr.,Finland-Jr.,,,,,,,
2002,3,89,St. Louis Blues,Tomas Troliga,SK,C,18,,Nova Ves,Slovakia-2,,,,,,,
2003,3,89,Nashville Predators,Paul Brown,CA,RW,19,,Kamloops,WHL,,,,,,,
2004,3,89,Ottawa Senators,Jeff Glass\glassje01,CA,G,18,2018,Kootenay,WHL,x,15,0,0,0,0,2
2005,3,89,Tampa Bay Lightning,Chris Lawrence,CA,C,18,,Sault Ste. Marie,OHL,,,,,,,
1993,4,89,St. Louis Blues,Jamal Mayers\mayerja01,CA,RW,18,2013,Western Michigan,CCHA,x,915,90,129,219,-87,1200
1994,4,89,San Jose Sharks,Vaclav Varada\varadva01,CS,RW,18,2006,Vitkovice,Czech,x,493,58,125,183,19,410
1995,4,89,Ottawa Senators,Kevin Bolibruck,CA,,,,Peterborough,OHL,,,,,,,
1996,4,89,Calgary Flames,Toni Lydman\lydmato01,FI,D,18,2013,Reipas Lahti,Finland,x,847,36,206,242,45,551
1997,4,89,Washington Capitals,Curtis Cruickshank,CA,,,,Kingston,OHL,,,,,,,
1998,4,89,Florida Panthers,Ryan Jardine\jardiry01,CA,LW,18,2002,Sault Ste. Marie,OHL,x,8,0,2,2,0,2
1999,3,90,New York Rangers,Patrick Aufiero,US,,,,Boston University,H-East,,,,,,,
2000,3,90,Toronto Maple Leafs,Jean-Francois Racine,CA,,,,Drummondville,QMJHL,,,,,,,
2001,3,90,Washington Capitals,Owen Fussey\fusseow01,CA,RW,18,2004,Calgary,WHL,x,4,0,1,1,-1,0
2002,3,90,Calgary Flames,Matthew Lombardi\lombama01,CA,C,20,2013,Victoriaville,QMJHL,x,536,101,161,262,6,293
2003,3,90,Anaheim Ducks,Juha Alen,FI,D,21,,Northern Michigan,CCHA,,,,,,,
2004,3,90,Toronto Maple Leafs,Justin Pogge\poggeju01,CA,G,18,2009,Prince George,WHL,x,7,0,0,0,0,0
2005,3,90,Florida Panthers,Dan Collins,US,RW,18,,Plymouth,OHL,,,,,,,
1993,4,90,Chicago Blackhawks,Eric Daze\dazeer01,CA,RW,18,2006,Beauport,QMJHL,x,601,226,172,398,8,176
1994,4,90,New York Islanders,Brad Lukowich\lukowbr01,CA,D,18,2011,Kamloops,WHL,x,658,23,90,113,45,369
1995,4,90,San Jose Sharks,Vesa Toskala\toskave01,FI,G,18,2010,Ilves Tampere,Finland,x,266,0,10,10,0,16
1996,4,90,Dallas Stars,Mike Hurley,CA,,,,Tri-City,WHL,,,,,,,
1997,4,90,Vancouver Canucks,Chris Stanley,CA,,,,Belleville,OHL,,,,,,,
1998,4,90,Vancouver Canucks,Regan Darby,CA,,,,Tri-City,WHL,,,,,,,
